@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
69,'2018/02/20 20:09:11:597',1,-21.78204,16.234013,0.044123,0.08,?,?
70,'2018/02/20 20:09:11:629',1,-21.752092,16.202181,0.029947,0.08,?,?
71,'2018/02/20 20:09:11:667',1,-22.022169,16.283794,-0.270077,0.08,?,?
72,'2018/02/20 20:09:11:703',1,-22.268633,16.364931,-0.246464,0.08,?,?
73,'2018/02/20 20:09:11:729',1,-22.476225,16.438332,-0.207592,0.08,?,?
74,'2018/02/20 20:09:11:764',1,-22.643396,16.500463,-0.167171,0.08,?,?
75,'2018/02/20 20:09:11:796',1,-22.775524,16.552486,-0.132128,0.08,?,?
76,'2018/02/20 20:09:11:828',1,-22.878178,16.595263,-0.102654,0.08,?,?
77,'2018/02/20 20:09:11:864',1,-26.706245,17.821661,-3.828068,0.08,?,?
78,'2018/02/20 20:09:11:910',1,-28.602171,18.451609,-1.895926,0.08,?,?
79,'2018/02/20 20:09:11:937',1,-29.685173,18.827324,-1.083002,0.08,?,?
80,'2018/02/20 20:09:11:964',1,-30.345518,19.065067,-0.660345,0.08,?,?
81,'2018/02/20 20:09:11:997',1,-30.792269,19.229319,-0.446751,0.08,?,?
82,'2018/02/20 20:09:12:028',1,-31.108168,19.347891,-0.315899,0.08,?,?
83,'2018/02/20 20:09:12:067',1,-31.308016,19.442169,-0.199848,0.08,?,?
84,'2018/02/20 20:09:12:105',1,-31.045795,19.917795,0.26222,0.08,?,?
85,'2018/02/20 20:09:12:132',1,-30.707581,20.405348,0.338215,0.08,?,?
86,'2018/02/20 20:09:12:166',1,-30.388693,20.802898,0.318888,0.08,?,?
87,'2018/02/20 20:09:12:197',1,-30.123112,21.0991,0.265581,0.08,?,?
88,'2018/02/20 20:09:12:231',1,-29.897434,21.33099,0.225677,0.08,?,?
89,'2018/02/20 20:09:12:265',1,-29.71018,21.507328,0.187254,0.08,?,?
90,'2018/02/20 20:09:12:299',1,-29.560959,21.639635,0.149221,0.08,?,?
91,'2018/02/20 20:09:12:338',1,-29.441446,21.737309,0.119513,0.08,?,?
92,'2018/02/20 20:09:12:364',1,-29.281319,21.787033,0.160128,0.08,?,?
93,'2018/02/20 20:09:12:403',1,-25.552004,20.314922,3.729315,0.08,?,?
94,'2018/02/20 20:09:12:436',1,-21.63504,18.776693,3.916964,0.08,?,?
95,'2018/02/20 20:09:12:464',1,-20.129805,18.174761,1.505236,0.08,?,?
96,'2018/02/20 20:09:12:505',1,-19.312405,17.853924,0.8174,0.08,?,?
97,'2018/02/20 20:09:12:538',1,-18.819204,17.564171,0.4932,0.08,?,?
98,'2018/02/20 20:09:12:566',1,-18.716528,17.301651,0.102676,0.08,?,?
99,'2018/02/20 20:09:12:596',1,-18.902891,17.090296,-0.186363,0.08,?,?
100,'2018/02/20 20:09:12:633',1,-19.15999,16.92939,-0.257099,0.08,?,?
101,'2018/02/20 20:09:12:663',1,-19.352423,16.80117,-0.192432,0.08,?,?
102,'2018/02/20 20:09:12:698',1,-19.494133,16.696644,-0.14171,0.08,?,?
103,'2018/02/20 20:09:12:736',1,-19.609755,16.61006,-0.115622,0.08,?,?
104,'2018/02/20 20:09:12:770',1,-19.710598,16.526592,-0.100843,0.08,?,?
105,'2018/02/20 20:09:12:797',1,-19.778769,16.446676,-0.068171,0.08,?,?
106,'2018/02/20 20:09:12:833',1,-20.039156,16.363543,-0.260387,0.08,?,?
107,'2018/02/20 20:09:12:864',1,-20.144154,16.277609,-0.104998,0.08,?,?
108,'2018/02/20 20:09:12:897',1,-20.185801,16.185091,-0.041647,0.08,?,?
109,'2018/02/20 20:09:12:936',1,-20.183943,16.075521,0.001858,0.08,?,?
110,'2018/02/20 20:09:12:964',1,-20.138123,15.945205,0.04582,0.08,?,?
111,'2018/02/20 20:09:12:997',1,-20.058907,15.801009,0.079216,0.08,?,?
112,'2018/02/20 20:09:13:033',1,-19.970499,15.662498,0.088408,0.08,?,?
113,'2018/02/20 20:09:13:063',1,-19.879967,15.533972,0.090532,0.08,?,?
114,'2018/02/20 20:09:13:099',1,-19.813017,15.432559,0.06695,0.08,?,?
115,'2018/02/20 20:09:13:140',1,-19.76021,15.349844,0.052807,0.08,?,?
116,'2018/02/20 20:09:13:165',1,-19.644314,15.234939,0.115896,0.08,?,?
117,'2018/02/20 20:09:13:198',1,-19.59347,15.169151,0.050844,0.08,?,?
118,'2018/02/20 20:09:13:233',1,-19.571602,15.125814,0.021868,0.08,?,?
119,'2018/02/20 20:09:13:265',1,-19.56193,15.092613,0.009672,0.08,?,?
120,'2018/02/20 20:09:13:299',1,-19.559824,15.06722,0.002106,0.08,?,?
121,'2018/02/20 20:09:13:341',1,-19.551884,15.047669,0.00794,0.08,?,?
122,'2018/02/20 20:09:13:371',1,-19.548283,15.032053,0.003601,0.08,?,?
123,'2018/02/20 20:09:13:397',1,-19.547554,15.020137,0.000729,0.08,?,?
124,'2018/02/20 20:09:13:433',1,-19.550045,15.011278,-0.002491,0.08,?,?
125,'2018/02/20 20:09:13:464',1,-19.548269,15.00392,0.001776,0.08,?,?
126,'2018/02/20 20:09:13:497',1,-19.547718,14.99826,0.000551,0.08,?,?
127,'2018/02/20 20:09:13:547',1,-19.545343,14.993148,0.002375,0.08,?,?
128,'2018/02/20 20:09:13:572',1,-19.543045,14.98896,0.002298,0.08,?,?
129,'2018/02/20 20:09:13:606',1,-19.540749,14.985421,0.002296,0.08,?,?
130,'2018/02/20 20:09:13:633',1,-19.534313,14.981241,0.006435,0.08,?,?
131,'2018/02/20 20:09:13:667',1,-19.530012,14.978277,0.004301,0.08,?,?
132,'2018/02/20 20:09:13:708',1,-19.527609,14.976258,0.002403,0.08,?,?
133,'2018/02/20 20:09:13:736',1,-19.524118,14.974043,0.00349,0.08,?,?
134,'2018/02/20 20:09:13:767',1,-19.517538,14.97097,0.00658,0.08,?,?
135,'2018/02/20 20:09:13:803',1,-19.513912,14.968761,0.003626,0.08,?,?
136,'2018/02/20 20:09:13:833',1,-19.507139,14.965543,0.006773,0.08,?,?
137,'2018/02/20 20:09:13:864',1,-19.503376,14.963359,0.003763,0.08,?,?
138,'2018/02/20 20:09:13:900',1,-19.49741,14.960723,0.005966,0.08,?,?
139,'2018/02/20 20:09:13:935',1,-19.494761,14.959211,0.002649,0.08,?,?
140,'2018/02/20 20:09:13:966',1,-19.493597,14.958273,0.001163,0.08,?,?
141,'2018/02/20 20:09:14:007',1,-19.487909,14.956273,0.005688,0.08,?,?
142,'2018/02/20 20:09:14:033',1,-19.478039,14.953507,0.009871,0.08,?,?
143,'2018/02/20 20:09:14:073',1,-19.461304,14.949347,0.016735,0.08,?,?
144,'2018/02/20 20:09:14:128',1,-19.453373,14.947703,0.007931,0.08,?,?
145,'2018/02/20 20:09:14:192',1,-19.443542,14.945963,0.00983,0.08,?,?
146,'2018/02/20 20:09:14:230',1,-19.428259,14.943181,0.015284,0.08,?,?
147,'2018/02/20 20:09:14:274',1,-19.405136,14.939085,0.023123,0.08,?,?
148,'2018/02/20 20:09:14:315',1,-19.377907,14.934855,0.027229,0.08,?,?
149,'2018/02/20 20:09:14:342',1,-19.338482,14.928402,0.039425,0.08,?,?
150,'2018/02/20 20:09:14:394',1,-19.292168,14.921062,0.046314,0.08,?,?
151,'2018/02/20 20:09:14:458',1,-19.243898,14.914486,0.048269,0.08,?,?
152,'2018/02/20 20:09:14:527',1,-19.20274,14.910328,0.041159,0.08,?,?
153,'2018/02/20 20:09:14:565',1,-19.157421,14.906139,0.045319,0.08,?,?
154,'2018/02/20 20:09:14:610',1,-19.109352,14.901885,0.048069,0.08,?,?
155,'2018/02/20 20:09:14:630',1,-19.055704,14.896766,0.053648,0.08,?,?
156,'2018/02/20 20:09:14:675',1,-19.001711,14.891544,0.053993,0.08,?,?
157,'2018/02/20 20:09:14:700',1,-18.949921,14.887073,0.05179,0.08,?,?
158,'2018/02/20 20:09:14:732',1,-18.919586,14.88613,0.030334,0.08,?,?
159,'2018/02/20 20:09:14:772',1,-18.890398,14.885748,0.029188,0.08,?,?
160,'2018/02/20 20:09:14:799',1,-18.863134,14.885675,0.027264,0.08,?,?
161,'2018/02/20 20:09:14:837',1,-18.837551,14.885632,0.025583,0.08,?,?
162,'2018/02/20 20:09:14:879',1,-18.814417,14.885744,0.023134,0.08,?,?
163,'2018/02/20 20:09:14:903',1,-18.789854,14.885442,0.024563,0.08,?,?
164,'2018/02/20 20:09:14:932',1,-18.764738,14.884685,0.025116,0.08,?,?
165,'2018/02/20 20:09:14:971',1,-18.747053,14.884811,0.017685,0.08,?,?
166,'2018/02/20 20:09:15:008',1,-18.730112,14.884825,0.016941,0.08,?,?
167,'2018/02/20 20:09:15:032',1,-18.714357,14.88483,0.015755,0.08,?,?
168,'2018/02/20 20:09:15:082',1,-18.698999,14.884877,0.015358,0.08,?,?
169,'2018/02/20 20:09:15:109',1,-18.682661,14.884646,0.016338,0.08,?,?
170,'2018/02/20 20:09:15:138',1,-18.666565,14.884311,0.016096,0.08,?,?
171,'2018/02/20 20:09:15:171',1,-18.650084,14.883785,0.016481,0.08,?,?
172,'2018/02/20 20:09:15:202',1,-18.630623,14.882491,0.019461,0.08,?,?
173,'2018/02/20 20:09:15:232',1,-18.621958,14.882862,0.008665,0.08,?,?
174,'2018/02/20 20:09:15:274',1,-18.616894,14.883976,0.005064,0.08,?,?
175,'2018/02/20 20:09:15:304',1,-18.614319,14.885714,0.002575,0.08,?,?
176,'2018/02/20 20:09:15:333',1,-18.610485,14.886644,0.003834,0.08,?,?
177,'2018/02/20 20:09:15:375',1,-18.605677,14.887172,0.004808,0.08,?,?
178,'2018/02/20 20:09:15:400',1,-18.599804,14.88742,0.005873,0.08,?,?
179,'2018/02/20 20:09:15:432',1,-18.591078,14.887032,0.008726,0.08,?,?
180,'2018/02/20 20:09:15:471',1,-18.586782,14.887406,0.004295,0.08,?,?
181,'2018/02/20 20:09:15:507',1,-18.581707,14.887535,0.005075,0.08,?,?
182,'2018/02/20 20:09:15:532',1,-18.576057,14.887543,0.00565,0.08,?,?
183,'2018/02/20 20:09:15:571',1,-18.569887,14.887402,0.00617,0.08,?,?
184,'2018/02/20 20:09:15:605',1,-18.564814,14.887391,0.005074,0.08,?,?
185,'2018/02/20 20:09:15:633',1,-18.558083,14.887038,0.006731,0.08,?,?
186,'2018/02/20 20:09:15:671',1,-18.549049,14.886255,0.009033,0.08,?,?
187,'2018/02/20 20:09:15:707',1,-18.535107,14.884478,0.013943,0.08,?,?
188,'2018/02/20 20:09:15:738',1,-18.520067,14.882609,0.015039,0.08,?,?
189,'2018/02/20 20:09:15:770',1,-18.514828,14.883095,0.005239,0.08,?,?
190,'2018/02/20 20:09:15:800',1,-18.508179,14.883696,0.006649,0.08,?,?
191,'2018/02/20 20:09:15:832',1,-18.500809,14.88416,0.00737,0.08,?,?
192,'2018/02/20 20:09:15:871',1,-18.488356,14.88462,0.012453,0.08,?,?
193,'2018/02/20 20:09:15:903',1,-18.46117,14.885613,0.027185,0.08,?,?
194,'2018/02/20 20:09:15:936',1,-18.418814,14.89041,0.042356,0.08,?,?
195,'2018/02/20 20:09:15:974',1,-18.269812,14.879948,0.149002,0.08,?,?
196,'2018/02/20 20:09:16:004',1,-18.121893,14.899082,0.147919,0.08,?,?
197,'2018/02/20 20:09:16:039',1,-17.935774,14.962485,0.186119,0.08,?,?
198,'2018/02/20 20:09:16:075',1,-17.758558,15.086664,0.177216,0.08,?,?
199,'2018/02/20 20:09:16:103',1,-17.536896,15.248577,0.221663,0.08,?,?
200,'2018/02/20 20:09:16:147',1,-15.053076,14.832267,2.48382,0.08,?,?
201,'2018/02/20 20:09:16:176',1,-15.007055,14.981787,0.046021,0.08,?,?
202,'2018/02/20 20:09:16:210',1,-15.156386,15.026265,-0.149331,0.08,?,?
203,'2018/02/20 20:09:16:249',1,-15.24235,14.680221,-0.085963,0.08,?,?
204,'2018/02/20 20:09:16:277',1,-15.291856,14.235488,-0.049506,0.08,?,?
205,'2018/02/20 20:09:16:304',1,-15.48613,13.77311,-0.194274,0.08,?,?
206,'2018/02/20 20:09:16:345',1,-15.758475,13.320661,-0.272346,0.08,?,?
207,'2018/02/20 20:09:16:373',1,-12.97937,12.540189,2.779105,0.08,?,?
208,'2018/02/20 20:09:16:404',1,-10.412534,12.258383,2.566836,0.08,?,?
209,'2018/02/20 20:09:16:437',1,-6.637034,5.478134,3.775499,0.08,?,?
210,'2018/02/20 20:09:16:468',1,-4.976131,-0.298802,1.660903,0.08,?,?
211,'2018/02/20 20:09:16:501',1,-0.148173,21.36079,4.827958,0.08,?,?
212,'2018/02/20 20:09:16:539',1,4.193335,23.864735,4.341508,0.08,?,?
213,'2018/02/20 20:09:16:565',1,5.971453,28.523788,1.778118,0.08,?,?
214,'2018/02/20 20:09:16:595',1,-6.644645,25.284771,-12.616098,0.08,?,?
215,'2018/02/20 20:09:16:631',1,-10.111197,21.382257,-3.466553,0.08,?,?
216,'2018/02/20 20:09:33:753',2,25.890923,10.334201,36.002121,0.9,?,?
217,'2018/02/20 20:09:33:793',2,25.846476,10.327993,-0.044447,0.9,?,?
218,'2018/02/20 20:09:33:822',2,25.836426,10.327541,-0.01005,0.9,?,?
219,'2018/02/20 20:09:33:855',2,25.815546,10.328836,-0.02088,0.9,?,?
220,'2018/02/20 20:09:33:891',2,25.766441,10.334769,-0.049105,0.9,?,?
221,'2018/02/20 20:09:33:925',2,25.665586,10.35316,-0.100855,0.9,?,?
222,'2018/02/20 20:09:33:956',2,25.51276,10.384579,-0.152826,0.9,?,?
223,'2018/02/20 20:09:33:991',2,25.312284,10.437544,-0.200476,0.9,?,?
224,'2018/02/20 20:09:34:022',2,25.078701,10.515006,-0.233583,0.9,?,?
225,'2018/02/20 20:09:34:055',2,24.815516,10.602876,-0.263186,0.9,?,?
226,'2018/02/20 20:09:34:099',2,24.533363,10.707471,-0.282152,0.9,?,?
227,'2018/02/20 20:09:34:134',2,24.262238,10.814301,-0.271126,0.9,?,?
228,'2018/02/20 20:09:34:158',2,24.013111,10.924201,-0.249126,0.9,?,?
229,'2018/02/20 20:09:34:191',2,23.786909,11.034138,-0.226202,0.9,?,?
230,'2018/02/20 20:09:34:226',2,23.59247,11.136495,-0.194439,0.9,?,?
231,'2018/02/20 20:09:34:257',2,23.433447,11.226717,-0.159023,0.9,?,?
232,'2018/02/20 20:09:34:294',2,23.305426,11.299714,-0.128021,0.9,?,?
233,'2018/02/20 20:09:34:327',2,23.208977,11.355698,-0.096449,0.9,?,?
234,'2018/02/20 20:09:34:356',2,23.146544,11.396721,-0.062433,0.9,?,?
